Actual Demand,Forecast Demand
6092.99,6557.700655148387
5984.32,6056.540909971119
5957.09,6011.877465229452
5997.65,6017.2966330445415
6262.37,6341.576805546344
6637.37,6437.89297805667
7285.56,6795.342491611898
7867.76,7041.777929192186
8271.0,7343.315090391696
8442.04,7860.182679198802
8370.27,8191.654791911722
8157.24,8342.47857747555
8027.849999999999,8356.9953321836
7854.35,8478.084911557913
7780.33,8423.028116654039
7702.76,8379.53712019694
7632.99,8359.350743983985
7514.03,8311.21775089431
7401.98,8271.423336187245
7407.77,8291.930904918432
7384.64,8284.21176924956
7383.22,8185.160202718616
7388.78,8249.623349942209
7423.8,8232.476831491113
7424.59,8206.2566243999
7561.02,8236.061569417834
7637.17,8239.8365374372
7727.73,8251.200634629966
7922.57,8242.388870841027
8033.3,8305.756522154214
8109.08,8356.609136417628
8226.02,8382.355202172399
8373.61,8417.752338356018
8367.11,8424.11978884399
8263.48,8352.339952529432
8120.05,8337.975190709472
7945.36,8313.681182797553
7708.06,7869.066615711332
7573.49,7789.008424611331
7395.37,7626.2751837248215
7433.79,7620.892819219113
7325.67,7512.254229576946
7263.44,7344.664863712371
7212.19,7165.490102833689
7073.66,7127.228522064091
6833.32,6875.847102075041
6536.63,6685.000434506954
6336.07,6512.8369430478815
6134.81,6245.220961936296
6014.24,6096.073399827004
6015.45,6063.945544632555
6047.22,6040.791005416275
6312.98,6322.615453774214
6597.66,6457.083275091052
7239.87,6770.699091243387
7821.51,7057.95131078744
8062.42,7351.202947725655
8338.49,7773.234621803642
8306.95,8006.869199230136
8093.92,8328.173083322645
7949.16,8348.996108991385
7838.35,8492.838736934185
7805.71,8432.234679579973
7762.22,8409.342065214872
7703.89,8420.43467825532
7556.31,8407.181663157702
7499.16,8377.290684429527
7528.58,8387.930186596037
7537.72,8363.994652476787
7518.02,8328.495231770992
7509.64,8246.001330741048
7523.89,8251.656613294244
7504.04,8358.733213130476
7594.22,8288.981860517384
7717.78,8251.034302790165
7824.16,8369.756043272615
7991.39,8366.766849806787
8190.339999999999,8368.019118255854
8239.64,8363.005264809013
8434.37,8407.252401986123
8587.59,8427.042067201854
8699.25,8425.498240068078
8634.96,8363.005264809013
8488.26,8363.005264809013
8197.26,8354.627493291737
7907.35,8181.6940001260045
7789.8,8124.299956093908
7632.4,7776.908261230947
7637.4,7829.702847520531
7519.43,7838.019917475582
7384.1,7500.511106094063
7324.88,7554.067568684341
7180.0,7507.389023262799
7008.03,7288.832809486211
6728.37,6987.7936878759865
6455.97,6842.702137239517
6266.18,6431.193819819213
6194.99,6027.520783576609
6136.76,6022.682821270705
6209.72,6016.111757668496
6480.6,6377.3835577837235
6827.32,6438.673494994581
7385.43,6795.664640060247
8037.92,7039.332181996048
8423.12,7385.171924319268
8699.94,7889.1746056549555
8604.63,8125.761573237896
8395.4,8321.592460419299
8265.39,8326.449541327478
8132.299999999999,8442.399084479928
8078.24,8407.680658677102
7943.72,8385.669411876917
7767.05,8341.278885182739
7701.62,8310.980680226088
7559.7,8276.210634197116
7523.38,8291.930904918432
7450.41,8313.265353198052
7420.76,8200.136759811403
7352.42,8248.976185255171
7318.09,8233.754910053254
7293.57,8212.525614086151
7366.77,8237.126475564599
7486.02,8239.16069484675
7606.09,8245.894266568304
7714.71,8242.369752238752
7779.13,8305.756522154214
7726.82,8359.185368074299
7871.32,8392.742338788868
7952.31,8420.39452919054
8150.53,8422.956421895504
8106.849999999999,8363.005264809013
7993.71,8363.005264809013
7874.71,8363.005264809013
7615.39,8310.468301685096
7605.38,8096.170756565452
7438.3,7740.266026074112
7457.57,7846.244740174652
7363.51,7922.090625228227
7254.95,7479.75308367306
7135.39,7539.702806864381
7017.12,7545.076567999065
6734.53,7299.49095228994
6490.32,6987.7936878759865
6202.92,6893.068183075012
6013.66,6403.274446950734
5877.79,6031.712059160531
5787.18,6019.440306324721
5799.63,6012.557131540359
5890.21,6377.3835577837235
6048.23,6434.771388270081
6247.28,6796.200438889027
6496.52,7043.0010417727835
6843.83,7342.6636240191465
7057.98,7808.008013588012
7205.49,8012.877219995321
7196.19,8296.915124531746
7324.79,8308.178849062562
7139.91,8379.944346425415
7076.56,8360.730151138187
6871.0,8338.493304831149
6784.38,8310.985459876658
6645.72,8342.517770610213
6564.52,8280.671960038186
6538.34,8293.05412280214
6462.71,8270.911913576365
6386.0,8233.856238645316
6372.63,8276.235488380074
6386.6,8233.15171815145
6430.43,8228.221030624509
6549.51,8241.149029483438
6611.21,8248.29556301415
6717.59,8264.785357477069
6778.11,8249.517241699577
6984.72,8331.594357199909
7119.69,8316.103509705901
7272.31,8307.784049925567
7361.89,8352.360982991935
7490.01,8416.648239074588
7400.82,8344.932450077653
7267.05,8287.957103435398
7141.8,8179.958986969472
6973.92,7901.185867534758
6894.54,7804.319079278887
6806.36,7633.589482990504
6826.81,7634.805426095248
6698.03,7512.254229576946
6525.46,7341.396060688257
6349.37,7206.453620069921
6196.34,7218.797067664266
6034.04,7155.079545929432
5812.66,6739.498010294259
5605.3,6656.540961124182
5481.85,6293.123097903491
5413.84,6048.746733788312
5367.18,6036.741207489193
5349.84,6030.845508512378
5386.47,6343.3481440472015
5468.15,6449.078794283212
5569.23,6797.165928303957
5723.54,7057.142115946114
5938.64,7350.753660572172
6211.11,7717.914946118474
6423.81,7884.9321878099445
6540.48,8148.991630933167
6657.76,8263.678390405297
6637.7,8238.007843129517
6644.27,8333.698359380365
6545.58,8345.49071326411
6489.36,8370.517919573307
6494.24,8357.112911587597
6433.32,8345.439093037963
6417.29,8370.381221567035
6427.04,8368.037280928016
6363.03,8371.905930098534
6394.51,8397.324111824275
6455.51,8401.52255688405
6545.82,8429.49116015339
6734.55,8373.143859595895
6878.64,8323.477554603696
7045.77,8332.209020263077
7113.08,8293.331342535139
7375.53,8353.244262417078
7463.83,8318.63385671711
7604.5,8404.913240997672
7788.07,8394.145644195914
7789.73,8451.005323294401
7650.21,8384.683847929598
7513.1,8330.02471995306
7286.93,8328.912973230721
7077.09,8243.852399845244
6882.12,7983.501965563536
6710.3,7748.849800530911
6714.16,7669.794380120278
6519.17,7465.136912233174
6432.03,7313.635850183726
6308.51,7294.68931532836
6224.03,7182.659085642457
6051.24,7033.982319114209
5848.04,6751.781234291435
5646.57,6597.103616473854
5589.78,6349.478045901895
5531.88,6241.994219837189
5551.25,6091.425667613746
5631.91,6072.901175903618
5875.44,6175.853893228948
6174.29,6383.799282742441
6790.04,6632.079665442348
7302.6,6941.565385538042
7745.21,7290.078864389539
8087.899999999999,7919.887206315935
8247.8,7930.8110976912985
8276.61,8156.833125656605
8441.14,8278.286914404274
8354.52,8366.055637802125
8407.69,8375.752592876435
8422.41,8365.538479610563
8337.34,8409.731128771187
